,UID,From Bus,From Name,To Bus,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Cont Rating,Lim MVA B,Lim MVA C
0,1,260039,GRAND_PRAIRIE_10_2,260041,GRAND_PRAIRIE_10_4,1,Closed,Transformer,YES,0.0,0.001,0.0,0.0,0.0,0.0
1,2,180044,CRYSTAL_CITY_1_1,180046,CRYSTAL_CITY_1_3,10,Closed,Transformer,YES,0.0,0.01,0.0,0.0,0.0,0.0
2,3,240030,LAUGHLIN_A_F_B_6_1,240032,LAUGHLIN_A_F_B_6_3,10,Closed,Transformer,YES,0.0,0.01,0.0,0.0,0.0,0.0
3,4,220238,MARATHON_2_1,220240,MARATHON_2_3,10,Closed,Transformer,YES,0.0,0.01,0.0,0.0,0.0,0.0
4,5,250303,NACOGDOCHES_5_1,250305,NACOGDOCHES_5_3,10,Closed,Transformer,YES,0.0,0.01,0.0,0.0,0.0,0.0
5,6,260109,LEWISVILLE_6_2,260111,LEWISVILLE_6_4,1,Closed,Transformer,YES,0.0,0.001,0.0,0.0,0.0,0.0
6,7,240205,SILVER_1_3,240206,SILVER_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,0.7,0.7,0.7
7,8,240204,SILVER_1_2,240206,SILVER_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,0.7,0.7,0.7
8,9,150467,BRIDGEPORT_4_4,150468,BRIDGEPORT_4_5,1,Closed,Transformer,YES,0.0,0.01,0.0,1.0,1.0,1.0
9,10,150466,BRIDGEPORT_4_3,150468,BRIDGEPORT_4_5,1,Closed,Transformer,YES,0.0,0.01,0.0,1.0,1.0,1.0
10,11,260203,HURST_10_3,260204,HURST_10_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.2,1.2,1.2
11,12,270199,SEGUIN_8_3,270200,SEGUIN_8_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.6,1.6,1.6
12,13,270198,SEGUIN_8_2,270200,SEGUIN_8_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.6,1.6,1.6
13,14,120476,CONVERSE_9_2,120478,CONVERSE_9_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.8,1.8,1.8
14,15,270188,MC_QUEENEY_5_2,270190,MC_QUEENEY_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.8,1.8,1.8
15,16,130373,HUTCHINS_3_3,130374,HUTCHINS_3_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.8,1.8,1.8
16,17,270189,MC_QUEENEY_5_3,270190,MC_QUEENEY_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.8,1.8,1.8
17,18,120477,CONVERSE_9_3,120478,CONVERSE_9_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.8,1.8,1.8
18,19,130372,HUTCHINS_3_2,130374,HUTCHINS_3_4,1,Closed,Transformer,YES,0.0,0.01,0.0,1.8,1.8,1.8
19,20,140366,AUSTIN_57_3,140367,AUSTIN_57_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.0,2.0,2.0
20,21,120483,LACKLAND_A_F_B_21_2,120485,LACKLAND_A_F_B_21_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.1,2.1,2.1
21,22,120484,LACKLAND_A_F_B_21_3,120485,LACKLAND_A_F_B_21_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.1,2.1,2.1
22,23,170560,LEWISVILLE_5_3,170561,LEWISVILLE_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.1,2.1,2.1
23,24,170559,LEWISVILLE_5_2,170561,LEWISVILLE_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.1,2.1,2.1
24,25,260216,COPPELL_11_3,260217,COPPELL_11_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.3,2.3,2.3
25,26,260215,COPPELL_11_2,260217,COPPELL_11_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.3,2.3,2.3
26,27,150456,SHEPPARD_AFB_5_2,150458,SHEPPARD_AFB_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.6,2.6,2.6
27,28,150457,SHEPPARD_AFB_5_3,150458,SHEPPARD_AFB_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.6,2.6,2.6
28,29,200163,SANTA_ROSA_2_3,200164,SANTA_ROSA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.2,3.2,3.2
29,30,140346,CEDAR_PARK_26_3,140347,CEDAR_PARK_26_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.2,3.2,3.2
30,31,140386,AUSTIN_60_3,140387,AUSTIN_60_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.2,3.2,3.2
31,32,140385,AUSTIN_60_2,140387,AUSTIN_60_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.2,3.2,3.2
32,33,220138,IRAAN_2_2,220140,IRAAN_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.6,3.6,3.6
33,34,220139,IRAAN_2_3,220140,IRAAN_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.6,3.6,3.6
34,35,111226,MONT_BELVIEU_4_3,111227,MONT_BELVIEU_4_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.9,3.9,3.9
35,36,111225,MONT_BELVIEU_4_2,111227,MONT_BELVIEU_4_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.9,3.9,3.9
36,37,111257,HOUSTON_49_3,111258,HOUSTON_49_4,1,Closed,Transformer,YES,0.0,0.01,0.0,4.0,4.0,4.0
37,38,140345,CEDAR_PARK_26_2,140347,CEDAR_PARK_26_4,1,Closed,Transformer,YES,0.0,0.01,0.0,4.7,4.7,4.7
