,Bus ID,lat,lng,Zone,Bus Name,Sub Name,Area,BaseKV,PU Volt,Volt (kV),Angle (Deg),MW Load,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Zone Num,Bus Type,Mismatch MW,Mismatch Mvar,Mismatch MVA,Bus Area,Sub Area
0,111078,29.3563,-95.0852,7,SANTA_FE_3,SANTA_FE_3_1,Coast,138.0,1.00841,139.161,-23.03,486.5,117.6,,761,,,0,0,1,PQ,0.0,0,0.0,1,12
1,110449,29.4972,-95.1242,7,LEAGUE_CITY_1,LEAGUE_CITY_1_1,Coast,138.0,1.00844,139.164,-24.12,318.4,130.9,,301,,,0,0,1,PQ,0.0,0,0.0,1,12
2,110127,28.9119,-95.9883,7,BAY_CITY_3,BAY_CITY_3_2,Coast,138.0,1.02695,141.72,-5.37,222.5,81.8,,39,,,0,0,1,PQ,0.0,0,0.0,1,12
3,110484,28.9711,-95.3739,7,CLUTE_1,CLUTE_1_1,Coast,138.0,1.02194,141.02700000000002,-14.66,221.1,93.8,,330,,,0,0,1,PQ,0.0,0,0.0,1,12
4,220088,31.8382,-102.36200000000001,1,ODESSA_12,ODESSA_12_1,Far_West,138.0,1.02516,141.472,27.04,186.9,46.8,,3669,,,0,0,1,PQ,0.0,0,0.0,2,23
5,110404,29.781,-94.9402,7,BAYTOWN_7,BAYTOWN_7_1,Coast,138.0,1.0097399999999999,139.344,-22.73,185.8,111.5,,274,,,0,0,1,PQ,0.0,0,0.0,1,12
6,110944,29.5508,-95.7996,7,ROSENBERG_4,ROSENBERG_4_2,Coast,138.0,1.02017,140.784,-17.2,176.9,116.8,,682,,,0,0,1,PQ,0.0,0,0.0,1,12
7,110916,29.5737,-95.5396,7,MISSOURI_CITY_7,MISSOURI_CITY_7_1,Coast,138.0,0.9978100000000001,137.69799999999998,-21.12,176.9,122.1,,665,,,0,0,1,PQ,0.0,0,0.0,1,12
8,110340,29.4152,-95.2575,7,ALVIN_1,ALVIN_1_1,Coast,138.0,0.9965299999999999,137.52100000000002,-24.74,176.9,16.8,,225,,,0,0,1,PQ,0.0,0,0.0,1,12
9,130328,32.4058,-96.8474,5,WAXAHACHIE_5,WAXAHACHIE_5_2,North_Central,138.0,1.02332,141.219,-15.79,173.3,115.0,,1548,,,0,0,1,PQ,0.0,0,0.0,1,14
10,150342,32.6293,-97.2993,5,KENNEDALE_7,KENNEDALE_7_2,North_Central,138.0,1.02006,140.768,-16.47,168.1,33.6,,2105,,,0,0,1,PQ,0.0,0,0.0,1,16
11,110442,29.576999999999998,-95.0423,7,SEABROOK_1,SEABROOK_1_3,Coast,69.0,0.9709399999999999,66.995,-28.61,160.5,92.4,,297,,,0,0,1,PQ,0.0,0,0.0,1,12
12,220021,30.9833,-102.29899999999999,1,MC_CAMEY_1,MC_CAMEY_1_1,Far_West,138.0,1.03084,142.256,38.34,152.21,31.22,,3602,,,0,0,1,PQ,0.0,0,0.0,2,23
13,160009,27.6832,-97.2579,4,PORT_ARANSAS_1,PORT_ARANSAS_1_1,South,138.0,1.01725,140.381,21.24,152.1,42.73,,2225,,,0,0,1,PQ,0.0,0,0.0,1,17
14,160187,27.8923,-97.3103,4,GREGORY_2,GREGORY_2_1,South,138.0,1.0172700000000001,140.38299999999998,22.01,150.3,85.5,,2400,,,0,0,1,PQ,0.0,0,0.0,1,17
15,220150,30.9315,-102.2014,1,IRAAN_3,IRAAN_3_1,Far_West,138.0,1.0308700000000002,142.261,37.51,147.7,48.7,,3705,,,0,0,1,PQ,0.0,0,0.0,2,23
16,220110,32.0014,-102.064,1,MIDLAND_23,MIDLAND_23_1,Far_West,138.0,1.02968,142.096,22.33,146.9,38.39,,3690,,,0,0,1,PQ,0.0,0,0.0,2,23
17,160140,27.8254,-97.5313,4,CORPUS_CHRISTI_8,CORPUS_CHRISTI_8_2,South,138.0,1.03539,142.884,23.19,143.6,68.71,,2353,,,0,0,1,PQ,0.0,0,0.0,1,17
18,220190,31.995,-102.8283,1,GOLDSMITH_4,GOLDSMITH_4_2,Far_West,138.0,1.0195299999999998,140.696,33.9,141.5,83.2,,3719,,,0,0,1,PQ,0.0,0,0.0,2,23
19,140372,30.0382,-96.9875,6,WEST_POINT_3,WEST_POINT_3_1,South_Central,345.0,1.0381200000000002,358.152,2.76,136.2,49.5,,1823,,,0,0,1,PQ,0.0,0,0.0,1,15
20,270156,29.8929,-97.9107,6,SAN_MARCOS_3,SAN_MARCOS_3_1,South_Central,138.0,1.0096399999999999,139.33,-2.2,130.9,57.5,,4860,,,0,0,1,PQ,0.0,0,0.0,2,28
21,111068,30.023000000000003,-95.3839,7,SPRING_32,SPRING_32_2,Coast,138.0,1.00657,138.906,-23.47,128.3,88.5,,755,,,0,0,1,PQ,0.0,0,0.0,1,12
22,190060,34.8209,-102.397,2,SUMMERFIELD_1,SUMMERFIELD_1_1,North,138.0,1.01168,139.612,49.99,125.7,20.16,,3056,,,0,0,1,PQ,0.0,0,0.0,1,20
23,111019,29.7701,-94.6678,7,WALLISVILLE_2,WALLISVILLE_2_1,Coast,138.0,0.98855,136.42,-27.61,125.6,76.1,,724,,,0,0,1,PQ,0.0,0,0.0,1,12
24,270159,29.8498,-98.0096,6,SAN_MARCOS_5,SAN_MARCOS_5_1,South_Central,138.0,1.01675,140.311,-1.2,123.0,54.0,,4862,,,0,0,1,PQ,0.0,0,0.0,2,28
25,220100,31.9905,-102.14200000000001,1,MIDLAND_13,MIDLAND_13_2,Far_West,138.0,1.03211,142.431,26.21,122.4,51.41,,3680,,,0,0,1,PQ,0.0,0,0.0,2,23
26,160290,27.5925,-97.5008,4,CORPUS_CHRISTI_33,CORPUS_CHRISTI_33_2,South,138.0,1.02162,140.984,22.42,116.8,74.3,,2428,,,0,0,1,PQ,0.0,0,0.0,1,17
27,130309,32.3463,-96.6432,5,ENNIS_5,ENNIS_5_1,North_Central,138.0,1.02976,142.107,-19.04,115.9,39.62,,1531,,,0,0,1,PQ,0.0,0,0.0,1,14
28,110096,28.930999999999997,-96.2976,7,MIDFIELD_1,MIDFIELD_1_4,Coast,1.0,0.96506,0.965,-6.97,115.0,75.2,,24,,,0,0,1,PQ,0.0,0,0.0,1,12
29,110123,29.4375,-96.1569,7,HUNGERFORD_2,HUNGERFORD_2_1,Coast,138.0,1.00615,138.849,-13.42,111.14,79.15,,36,,,0,0,1,PQ,0.0,0,0.0,1,12
30,110338,29.7068,-95.4854,7,BELLAIRE_19,BELLAIRE_19_1,Coast,138.0,0.9874299999999999,136.265,-23.93,110.6,79.6,,224,,,0,0,1,PQ,0.0,0,0.0,1,12
31,260193,32.4758,-97.0464,5,MIDLOTHIAN_4,MIDLOTHIAN_4_1,North_Central,138.0,1.0126899999999999,139.751,-16.42,107.26,33.0,,4706,,,0,0,1,PQ,0.0,0,0.0,2,27
32,150413,32.7706,-97.70299999999999,5,WEATHERFORD_8,WEATHERFORD_8_1,North_Central,138.0,1.02155,140.97299999999998,-12.41,105.1,59.13,,2170,,,0,0,1,PQ,0.0,0,0.0,1,16
33,230073,30.0861,-96.0465,7,HEMPSTEAD_4,HEMPSTEAD_4_2,Coast,138.0,1.01942,140.68,-16.6,104.0,65.0,,3812,,,0,0,1,PQ,0.0,0,0.0,2,24
34,270077,29.1352,-97.4828,6,WESTHOFF_2,WESTHOFF_2_1,South_Central,138.0,1.0241200000000001,141.329,1.25,102.68,74.68,,4792,,,0,0,1,PQ,0.0,0,0.0,2,28
35,111172,29.703000000000003,-95.6407,7,SUGAR_LAND_75,SUGAR_LAND_75_2,Coast,138.0,1.01291,139.782,-21.01,102.6,75.2,,824,,,0,0,1,PQ,0.0,0,0.0,1,12
36,150095,33.3201,-98.7788,5,OLNEY_1,OLNEY_1_1,North_Central,138.0,1.04119,143.685,4.51,100.8,27.15,,1923,,,0,0,1,PQ,0.0,0,0.0,1,16
37,240316,31.2081,-101.1108,1,BARNHART_2,BARNHART_2_2,Far_West,138.0,1.0340799999999999,142.703,24.85,100.68,71.78,,4221,,,0,0,1,PQ,0.0,0,0.0,2,25
38,110132,29.3173,-96.0917,7,WHARTON_2,WHARTON_2_1,Coast,138.0,1.02084,140.876,-11.42,100.5,9.37,,44,,,0,0,1,PQ,0.0,0,0.0,1,12
39,270158,29.8691,-97.9689,6,SAN_MARCOS_4,SAN_MARCOS_4_1,South_Central,69.0,0.99319,68.53,-4.61,100.3,36.76,,4861,,,0,0,1,PQ,0.0,0,0.0,2,28
40,111091,29.3725,-94.9718,7,LA_MARQUE_3,LA_MARQUE_3_1,Coast,69.0,1.0046,69.317,-29.72,99.8,45.89,,771,,,0,0,1,PQ,0.0,0,0.0,1,12
41,220148,31.2092,-102.2417,1,MC_CAMEY_2,MC_CAMEY_2_1,Far_West,138.0,1.037,143.106,38.64,99.8,21.3,,3704,,,0,0,1,PQ (Remotely Regulated),0.0,0,0.0,2,23
42,110789,29.7549,-95.3328,7,HOUSTON_31,HOUSTON_31_2,Coast,69.0,1.0018799999999999,69.13,-28.64,99.8,32.5,,575,,,0,0,1,PQ,0.0,0,0.0,1,12
43,180021,27.5258,-99.43299999999999,4,LAREDO_16,LAREDO_16_1,South,138.0,1.0334,142.61,20.4,99.3,23.69,,2902,,,0,0,1,PQ,0.0,0,0.0,1,19
44,110982,30.1293,-95.4063,7,SPRING_20,SPRING_20_1,Coast,138.0,0.9983700000000001,137.776,-23.74,98.2,64.6,,700,,,0,0,1,PQ,0.0,0,0.0,1,12
45,220081,31.8712,-102.36,1,ODESSA_6,ODESSA_6_1,Far_West,138.0,1.02759,141.80700000000002,25.93,96.9,55.3,,3662,,,0,0,1,PQ,0.0,0,0.0,2,23
46,240303,31.1814,-101.3188,1,BARNHART_1,BARNHART_1_2,Far_West,138.0,1.0398,143.493,24.72,96.4,50.4,,4217,,,0,0,1,PQ,0.0,0,0.0,2,25
47,220026,30.7353,-101.76,1,SHEFFIELD_1,SHEFFIELD_1_1,Far_West,138.0,1.00334,138.461,33.14,94.9,63.26,,3607,,,0,0,1,PQ,0.0,0,0.0,2,23
48,110791,29.7349,-95.3477,7,HOUSTON_32,HOUSTON_32_2,Coast,69.0,1.01855,70.28,-29.08,94.0,25.6,,576,,,0,0,1,PQ,0.0,0,0.0,1,12
49,150153,32.87,-97.5218,5,AZLE_1,AZLE_1_2,North_Central,138.0,1.02958,142.082,-14.28,93.8,53.1,,1969,,,0,0,1,PQ,0.0,0,0.0,1,16
50,111245,29.7592,-95.0096,7,BAYTOWN_12,BAYTOWN_12_1,Coast,138.0,1.02088,140.881,-22.85,92.1,25.63,,839,,,0,0,1,PQ,0.0,0,0.0,1,12
51,180105,26.4059,-98.9709,4,ROMA_6,ROMA_6_1,South,138.0,1.03885,143.361,29.74,92.0,14.5,,2982,,,0,0,1,PQ,0.0,0,0.0,1,19
52,240120,32.4721,-100.421,3,SWEETWATER_1,SWEETWATER_1_1,West,138.0,1.0325799999999998,142.497,23.41,91.6,24.8,,4113,,,0,0,1,PQ,0.0,0,0.0,2,25
53,210279,31.1045,-97.3361,5,TEMPLE_6,TEMPLE_6_2,North_Central,69.0,0.9912,68.392,-4.71,91.3,59.4,,3537,,,0,0,1,PQ,0.0,0,0.0,2,22
54,150390,32.7476,-97.8705,5,MILLSAP_7,MILLSAP_7_1,North_Central,138.0,1.02511,141.465,-10.12,91.2,59.68,,2147,,,0,0,1,PQ,0.0,0,0.0,1,16
55,120416,29.586,-98.2916,6,UNIVERSAL_CITY_13,UNIVERSAL_CITY_13_2,South_Central,138.0,1.01245,139.718,2.65,91.1,15.9,,1236,,,0,0,1,PQ,0.0,0,0.0,1,13
56,110743,29.995,-95.2578,7,HUMBLE_9,HUMBLE_9_2,Coast,138.0,1.01891,140.609,-22.59,89.3,18.6,,543,,,0,0,1,PQ,0.0,0,0.0,1,12
57,220101,31.9858,-102.115,1,MIDLAND_14,MIDLAND_14_1,Far_West,138.0,1.04046,143.584,21.41,88.3,18.4,,3681,,97.43,0,0,1,PQ,0.0,0,0.0,2,23
58,110987,30.1322,-95.4673,7,SPRING_21,SPRING_21_1,Coast,138.0,1.00102,138.141,-24.27,86.7,59.3,,702,,,0,0,1,PQ,0.0,0,0.0,1,12
59,130315,32.0851,-96.5003,5,BARRY_4,BARRY_4_1,North_Central,138.0,1.0236,141.256,-11.98,85.2,55.52,,1536,,,0,0,1,PQ,0.0,0,0.0,1,14
60,220063,32.6463,-101.809,1,ACKERLY_1,ACKERLY_1_1,Far_West,138.0,1.03031,142.183,24.31,85.0,37.35,,3644,,,0,0,1,PQ,0.0,0,0.0,2,23
61,120397,29.4828,-98.3903,6,CONVERSE_8,CONVERSE_8_2,South_Central,69.0,1.0200799999999999,70.38600000000001,-1.85,83.5,21.9,,1223,,,0,0,1,PQ,0.0,0,0.0,1,13
62,220205,30.9931,-102.2708,1,MC_CAMEY_3,MC_CAMEY_3_2,Far_West,138.0,1.03482,142.805,38.29,82.3,5.3,,3724,,,0,0,1,PQ,0.0,0,0.0,2,23
63,220061,32.7335,-101.961,1,LAMESA_1,LAMESA_1_1,Far_West,138.0,1.03411,142.708,24.38,82.1,25.8,,3642,,2.14,0,0,1,PQ,0.0,0,0.0,2,23
