Year,Month,Day,Period,Forecast_time,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
2018,1,1,6,2018-01-01 06:00:00,10917.6005859375,2056.40966796875,2774.193359375,1372.255615234375,18188.744140625,9161.8310546875,3685.768798828125,1852.643310546875
2018,1,1,7,2018-01-01 07:00:00,11253.8486328125,2100.552734375,2780.514892578125,1360.6844482421875,17921.794921875,9024.9306640625,3878.552490234375,1879.5618896484373
2018,1,1,8,2018-01-01 08:00:00,11185.1640625,2098.724853515625,2734.469970703125,1338.3656005859375,18126.908203125,9096.2275390625,4013.0029296875,1823.6429443359373
2018,1,1,9,2018-01-01 09:00:00,11436.69140625,2147.53515625,2756.56298828125,1335.148193359375,18689.6875,7884.02783203125,4010.492431640625,1857.3509521484373
2018,1,1,10,2018-01-01 10:00:00,12384.7099609375,2272.806640625,2802.40380859375,1380.833740234375,19501.060546875,8472.7431640625,4122.623046875,1881.0284423828125
2018,1,1,11,2018-01-01 11:00:00,12793.4609375,2318.13134765625,2789.172607421875,1424.1455078125,20052.65625,9572.130859375,4353.14306640625,1899.90673828125
2018,1,1,12,2018-01-01 12:00:00,12855.05078125,2335.874755859375,2783.82177734375,1379.827880859375,20239.498046875,9831.921875,4380.13818359375,1917.375732421875
2018,1,1,13,2018-01-01 13:00:00,12763.123046875,2332.2822265625,2749.00390625,1439.4599609375,20044.39453125,9994.0654296875,4630.55712890625,1902.43896484375
2018,1,1,14,2018-01-01 14:00:00,13190.888671875,2304.929443359375,2747.158203125,1378.7293701171875,20134.814453125,9970.8955078125,4761.72607421875,1912.8687744140625
2018,1,1,15,2018-01-01 15:00:00,13198.24609375,2273.939453125,2753.77294921875,1409.504150390625,19745.859375,10110.90234375,4841.2822265625,1857.975830078125
2018,1,1,16,2018-01-01 16:00:00,13044.884765625,2218.216796875,2694.470458984375,1402.305908203125,19341.8828125,9683.814453125,4475.6611328125,1861.082275390625
2018,1,1,17,2018-01-01 17:00:00,12906.849609375,2164.70654296875,2695.570068359375,1383.2117919921875,19051.96484375,9687.7666015625,4784.50390625,1844.375
2018,1,1,18,2018-01-01 18:00:00,12387.5546875,2065.96630859375,2681.218994140625,1250.92236328125,18393.376953125,8305.95703125,4889.8935546875,1804.4825439453125
2018,1,1,19,2018-01-01 19:00:00,12112.7197265625,2009.7691650390625,2663.443115234375,1246.222412109375,18576.76953125,8727.7919921875,4781.2587890625,1765.2896728515625
2018,1,1,20,2018-01-01 20:00:00,12014.1640625,1994.1865234375,2594.810791015625,1161.44580078125,17369.09765625,9017.62109375,4688.318359375,1707.1319580078125
2018,1,1,21,2018-01-01 21:00:00,12205.2353515625,1919.3980712890625,2581.983154296875,1142.3065185546875,17089.328125,8705.2626953125,4224.0224609375,1665.7696533203125
2018,1,1,22,2018-01-01 22:00:00,12641.431640625,1907.90380859375,2586.6171875,1106.30517578125,17166.732421875,9289.943359375,4109.94287109375,1665.1336669921875
2018,1,1,23,2018-01-01 23:00:00,12865.0205078125,1974.650146484375,2641.85595703125,1134.2015380859375,17483.384765625,8710.5107421875,5008.93359375,1690.4404296875
