Year,Month,Day,Period,Time,Coast,East,Far_West,North,North_Central,South_Central,South,West
2018,1,2,0,2018-01-02 6:00,11885.23112,2115.7453,2482.927022,1350.683665,17406.14714,8516.253581,4760.628377,1844.1265670000007
2018,1,2,1,2018-01-02 7:00,11834.71965,2132.611084,2479.397644,1361.598165,17378.196780000002,8488.470785,4728.098063,1842.0658670000007
2018,1,2,2,2018-01-02 8:00,11949.69767,2157.978658,2496.396708,1372.536947,17495.131999999998,8577.75651,4722.747233,1842.040558
2018,1,2,3,2018-01-02 9:00,12289.44596,2227.211589,2537.00295,1406.5158789999996,17959.93734,8828.50765,4797.44104,1867.172679
2018,1,2,4,2018-01-02 10:00,12893.00326,2346.185486,2585.678853000001,1467.205841,18897.90951,9334.32959,4994.56783,1939.254079
2018,1,2,5,2018-01-02 11:00,13504.40397,2457.931091,2631.90743,1530.784485,19820.30632,9818.819336,5243.195638,2006.559428
2018,1,2,6,2018-01-02 12:00,13781.78564,2501.808472,2642.954325,1557.381826,20165.13167,9989.559733,5353.237671,2028.346273
2018,1,2,7,2018-01-02 13:00,14026.75496,2526.530863,2636.471558,1567.21932,20324.41211,10032.17643,5474.825968,2024.387238
2018,1,2,8,2018-01-02 14:00,14265.21281,2523.220601,2634.047831,1580.200002,20464.63053,10059.13338,5560.212931,2014.572408
2018,1,2,9,2018-01-02 15:00,14382.60116,2495.977254,2624.275818,1577.549835,20383.17708,10039.25423,5586.877889,1993.757375
2018,1,2,10,2018-01-02 16:00,14267.35946,2443.261617,2620.9246420000004,1571.036845,20131.33398,9917.649984,5541.435832,1920.96225
2018,1,2,11,2018-01-02 17:00,14158.289880000002,2385.148682,2615.472819,1527.744822,19884.83626,9757.614746,5455.854696,1886.422709
2018,1,2,12,2018-01-02 18:00,14060.09204,2338.844971,2596.629496,1487.387319,19721.81022,9665.613444,5399.843831,1865.822673
2018,1,2,13,2018-01-02 19:00,13994.54435,2319.421305,2543.000142000001,1479.892843,19686.3846,9677.205485,5389.9223630000015,1841.052195
2018,1,2,14,2018-01-02 20:00,13992.06649,2326.033427,2490.749003,1490.147298,19851.94499,9843.029867,5432.010905,1821.899974
2018,1,2,15,2018-01-02 21:00,14225.71134,2391.122294,2491.286296,1429.604513,20359.08105,10174.72168,5521.504354,1900.754395
2018,1,2,16,2018-01-02 22:00,14805.19181,2496.433004,2575.288534,1485.304952,21391.95296,10720.05046,5753.416748,1999.409119
2018,1,2,17,2018-01-02 23:00,14863.23088,2505.666361,2662.210022,1511.854655,21570.16862,10923.12231,5915.599243,2054.572052
2018,1,2,18,2018-01-03 0:00,14754.13224,2477.607747,2671.469971,1514.332682,21335.30273,10865.11711,5933.626668,2065.860352
2018,1,2,19,2018-01-03 1:00,14542.59912,2436.050151000001,2669.695964,1476.329163,20890.03255,10683.02824,5891.581706,2046.064575
2018,1,2,20,2018-01-03 2:00,14119.59505,2352.021159,2605.243551,1437.354309,20091.1639,10247.25659,5751.671794,2019.803833
2018,1,2,21,2018-01-03 3:00,13603.38761,2241.512288,2511.82135,1395.2066140000004,19135.83431,9732.769775,5528.186605,2014.541463
2018,1,2,22,2018-01-03 4:00,13179.15535,2193.761169000001,2423.083272,1383.672434,18541.48714,9417.580729,5323.882284,2045.032888
2018,1,2,23,2018-01-03 5:00,12942.24959,2164.952413,2393.1321,1395.786407,18401.71338,9265.449219,5190.340251,2055.861715
2018,1,3,0,2018-01-03 6:00,12896.05469,2180.669332,2394.554484,1411.023326,18386.35042,9298.263102,5077.725911,2066.670268
2018,1,3,1,2018-01-03 7:00,12977.32625,2253.75297,2372.249329,1417.261953,18525.19385,9462.871175,5038.030192,2100.874023
2018,1,3,2,2018-01-03 8:00,13188.33708,2323.80953,2341.194519,1427.657817,18919.13688,9678.874268,5040.720744,2147.980387
2018,1,3,3,2018-01-03 9:00,13640.97673,2400.227478,2401.92098,1455.340688,19547.67399,10051.93547,5134.010864,2134.638896
2018,1,3,4,2018-01-03 10:00,14319.98714,2584.8004960000007,2440.522257,1513.269409,20673.99723,10682.34294,5385.735799,2193.390198
2018,1,3,5,2018-01-03 11:00,14933.20915,2702.158305,2475.880595,1572.421926,21673.63639,11318.80615,5651.62439,2264.7262370000008
2018,1,3,6,2018-01-03 12:00,14838.50903,2700.313192,2481.376058,1554.519897,21744.07731,11325.83464,5637.765828000001,2244.837321
2018,1,3,7,2018-01-03 13:00,14635.98527,2597.308757,2465.830139,1540.459788,20754.46159,10733.12663,5551.702718,2062.808604
2018,1,3,8,2018-01-03 14:00,14415.31885,2461.428609,2420.613118,1515.6094460000004,19559.47656,9956.892497,5317.247355,1828.154409
2018,1,3,9,2018-01-03 15:00,14007.32959,2328.748617,2370.658386,1464.468018,18273.59456,9132.812744,5012.795085,1664.450826
2018,1,3,10,2018-01-03 16:00,13491.11694,2177.043355,2304.760457,1392.835571,17158.11214,8370.972127,4697.086751,1535.0800880000004
2018,1,3,11,2018-01-03 17:00,13017.47461,2038.341593,2257.112203,1314.273051,16091.17098,7724.881592,4367.807536,1396.858063
2018,1,3,12,2018-01-03 18:00,12554.01139,1961.801127,2252.400553,1246.764486,15249.12467,7202.075521,4074.482157,1308.29835
2018,1,3,13,2018-01-03 19:00,12163.2373,1874.853811,2245.303833,1186.245076,14513.32918,6826.203369,3830.328247,1245.542826
2018,1,3,14,2018-01-03 20:00,11914.21419,1842.513234,2269.979777,1159.870341,14245.20036,6648.407145,3678.980774,1211.92336
2018,1,3,15,2018-01-03 21:00,11990.22176,1894.297434,2277.144613,1138.895721,14570.67375,6803.920125,3692.46228,1288.3084
2018,1,3,16,2018-01-03 22:00,12856.25252,2080.56485,2341.927897,1229.59613,16001.45459,7554.411784000001,4046.2173060000014,1428.429789
2018,1,3,17,2018-01-03 23:00,13322.54671,2184.656209,2438.710022,1274.018107,16791.10189,8120.359496999998,4442.135783,1553.319132
2018,1,3,18,2018-01-04 0:00,13451.14575,2169.90977,2485.825256,1288.817576,17037.92969,8292.878906,4666.236084,1635.572622
2018,1,3,19,2018-01-04 1:00,13430.947430000002,2246.652608,2491.068644,1297.0684609999996,17030.02279,8408.812256000001,4830.56311,1693.3985899999998
2018,1,3,20,2018-01-04 2:00,13156.15446,2208.126017,2443.696838,1280.245483,16621.39803,8315.320679,4848.523641,1722.538127
2018,1,3,21,2018-01-04 3:00,12711.7417,2129.933858,2408.536214,1239.335826,15998.66528,7969.771932,4791.069661,1693.559825
2018,1,3,22,2018-01-04 4:00,12366.15991,2074.271159,2385.774984,1211.932526,15533.40153,7775.243286,4672.017904,1689.3294469999996
2018,1,3,23,2018-01-04 5:00,12196.45858,2078.829447,2359.552307,1207.759328,15380.313719999998,7772.3199060000015,4572.710612,1697.332906
2018,1,4,0,2018-01-04 6:00,12130.93636,2038.075389,2349.536743,1220.79951,15427.496180000002,7824.001179999998,4575.283407,1710.982595
2018,1,4,1,2018-01-04 7:00,12190.2627,2075.454671,2354.615336,1229.003123,15619.29077,7991.019531,4574.333862,1728.533732
2018,1,4,2,2018-01-04 8:00,12376.86572,2117.68335,2383.351705,1244.908976,15956.821780000002,8194.372152,4634.392822,1738.388041
2018,1,4,3,2018-01-04 9:00,12792.36027,2209.813924,2413.692057,1269.20636,16733.33765,8584.712728,4786.286296,1788.201019
2018,1,4,4,2018-01-04 10:00,13478.35848,2338.126872,2454.113586,1341.3109029999996,17904.46126,9259.972249,5052.907267000001,1887.749969
2018,1,4,5,2018-01-04 11:00,14066.77327,2503.868632,2520.687093,1412.871236,19081.63525,9931.36263,5337.030436,1970.194651
2018,1,4,6,2018-01-04 12:00,14028.02629,2539.325277,2560.955994,1414.411163,19125.42171,9834.457926,5353.372437,1970.082835
2018,1,4,7,2018-01-04 13:00,13647.795080000002,2437.553426,2551.129659,1402.907552,18161.21631,9200.095133,5102.783691,1850.262156
2018,1,4,8,2018-01-04 14:00,13184.90381,2248.030314,2600.549418,1368.842417,17016.58431,8315.001099,4674.146525,1599.022919
2018,1,4,9,2018-01-04 15:00,12680.23755,2094.055705,2527.228597,1306.580973,16012.42114,7628.42688,4191.848938,1539.775401
2018,1,4,10,2018-01-04 16:00,12135.52791,1967.275909,2493.380208,1250.091736,15133.2592,7132.330933,3799.391073,1457.2015279999996
2018,1,4,11,2018-01-04 17:00,11687.20638,1850.534027,2477.899862,1199.59785,14369.35685,6729.418742,3512.761475,1337.698079
2018,1,4,12,2018-01-04 18:00,11306.88306,1744.983012,2530.0436600000007,1145.518799,13723.98405,6526.996094,3308.863749,1237.633596
2018,1,4,13,2018-01-04 19:00,11015.61694,1678.3793440000004,2551.810608,1087.0277,13214.05135,6520.74056,3162.266927,1244.95815
2018,1,4,14,2018-01-04 20:00,10913.02856,1679.772532,2567.4344690000007,1069.235331,13306.9353,6603.891886,3107.339762,1296.444956
2018,1,4,15,2018-01-04 21:00,11099.67041,1755.060425,2594.091777,1091.105184,13881.4471,6838.521444,3130.282166,1344.068807
2018,1,4,16,2018-01-04 22:00,11895.45939,1930.889791,2646.013489,1164.391897,15155.79956,7442.156901,3347.456584,1424.670115
2018,1,4,17,2018-01-04 23:00,12153.26123,2008.511332,2646.036845,1197.260356,15633.40259,7726.540894,3613.406169,1513.044312
2018,1,4,18,2018-01-05 0:00,12152.14071,2021.837931,2681.643616,1210.896098,15783.6543,7709.009440000002,3708.297852,1489.510834
2018,1,4,19,2018-01-05 1:00,11964.92505,2033.870911,2646.969421,1199.406718,15766.90072,7564.110758,3767.346863,1485.637807
2018,1,4,20,2018-01-05 2:00,11545.59896,1984.214722,2648.4381510000007,1172.7951859999996,15259.08285,7191.484456,3751.921875,1380.055969
2018,1,4,21,2018-01-05 3:00,11058.33968,1906.204112,2604.561096,1122.784119,14498.17798,6699.835571000001,3647.368815,1302.47112
2018,1,4,22,2018-01-05 4:00,10628.36995,1838.430806,2535.318705,1093.538829,13985.33114,6370.283691,3502.312785,1283.7444460000004
2018,1,4,23,2018-01-05 5:00,10360.82422,1848.086456,2499.201314,1085.122782,13691.5092,6156.833008,3407.622925,1281.569092
2018,1,5,0,2018-01-05 6:00,10235.18791,1832.607758,2513.704366,1088.335256,13673.97559,6076.245972,3381.417725,1261.991557
2018,1,5,1,2018-01-05 7:00,10198.0201,1836.354309,2559.912781,1100.545837,13797.0214,6074.173421,3397.906799000001,1243.064412
2018,1,5,2,2018-01-05 8:00,10305.68083,1872.16627,2610.2189940000007,1120.791331,14171.156980000002,6181.228475,3433.58138,1262.063446
2018,1,5,3,2018-01-05 9:00,10678.2089,1963.131877,2671.395345,1162.513977,14861.34733,6462.204142000001,3540.991597,1286.022949
2018,1,5,4,2018-01-05 10:00,11290.18815,2111.484233,2731.392069,1242.03479,16020.68717,7028.029012000001,3757.824117,1362.4099119999996
2018,1,5,5,2018-01-05 11:00,11898.42554,2235.492086,2767.740336,1331.454824,17195.53125,7586.400513,4013.831807,1486.320394
2018,1,5,6,2018-01-05 12:00,11986.7085,2210.487528,2757.6130980000007,1338.625468,17319.97266,7687.779785,4036.012044,1536.926107
2018,1,5,7,2018-01-05 13:00,11979.84888,2139.466909,2728.784526000001,1342.977651,16436.61849,7588.378011,3935.610596,1438.259084
2018,1,5,8,2018-01-05 14:00,11929.9362,1984.019246,2667.521484,1323.867503,15417.74113,7391.278158,3780.008789,1340.395111
2018,1,5,9,2018-01-05 15:00,11722.34644,1827.01884,2585.864075,1279.881989,14446.35824,7145.525472,3575.970011,1271.325531
2018,1,5,10,2018-01-05 16:00,11395.4694,1697.9550579999998,2531.025146,1214.681651,13525.143719999998,6777.748454000001,3341.165466,1194.919922
2018,1,5,11,2018-01-05 17:00,11078.34635,1602.138926,2468.244141,1160.080475,12750.72298,6357.368368,3174.704346,1131.275024
2018,1,5,12,2018-01-05 18:00,10837.26042,1537.600769,2451.648824,1111.801046,12199.35669,6019.748291,3055.060099,1094.8259480000004
2018,1,5,13,2018-01-05 19:00,10626.65999,1479.187876,2418.411845,1048.884715,11747.81844,5809.273804,2961.128662,1093.303813
2018,1,5,14,2018-01-05 20:00,10460.81632,1449.672516,2393.41569,995.0069377,11526.6355,5719.257975,2906.746847,1098.246226
2018,1,5,15,2018-01-05 21:00,10536.85376,1493.012543,2381.957031,972.4699961,11706.91829,5852.309163,2877.809041,1126.956075
2018,1,5,16,2018-01-05 22:00,11110.12663,1677.488617,2413.18099,1022.5855,12650.28206,6349.963257,3004.340739,1215.538442
