PlantCode,PlantName,GeneratorID,Technology,WinterCapacityMW,RRMWperMin,minUpHr,minDnHr
9,Copper,1,Natural Gas Fired Combustion Turbine,65,13,1,1
127,Oklaunion,1,Conventional Steam Coal,650,1.69,24,288
298,Limestone,1,Conventional Steam Coal,831,2.1606,24,288
298,Limestone,2,Conventional Steam Coal,858,2.2308,24,288
791,Canyon,1,Conventional Hydroelectric,3,0,1,1
791,Canyon,2,Conventional Hydroelectric,3,0,1,1
794,Lewisville,1,Conventional Hydroelectric,2,0,1,1
3437,Eagle Pass,1,Conventional Hydroelectric,2,0,1,1
3437,Eagle Pass,2,Conventional Hydroelectric,2,0,1,1
3437,Eagle Pass,3,Conventional Hydroelectric,2,0,1,1
3439,Laredo,4,Natural Gas Fired Combustion Turbine,97.4,19.48,1,1
3439,Laredo,5,Natural Gas Fired Combustion Turbine,94.4,18.88,1,1
3441,Nueces Bay,7,Natural Gas Fired Combined Cycle,325,2.145,4,16
3441,Nueces Bay,8,Natural Gas Fired Combined Cycle,165,1.089,4,16
3441,Nueces Bay,9,Natural Gas Fired Combined Cycle,165,1.089,4,16
3443,Victoria,5,Natural Gas Fired Combined Cycle,132,0.8712,4,16
3443,Victoria,7,Natural Gas Fired Combined Cycle,171,1.1286,4,16
3452,Lake Hubbard,1,Natural Gas Steam Turbine,392,2.1168,8,64
3452,Lake Hubbard,2,Natural Gas Steam Turbine,523,2.8242,8,64
3453,Mountain Creek,6,Natural Gas Steam Turbine,122,0.6588,8,64
3453,Mountain Creek,7,Natural Gas Steam Turbine,118,0.6372,8,64
3453,Mountain Creek,8,Natural Gas Steam Turbine,568,3.0672,8,64
3456,Newman,1,Natural Gas Steam Turbine,78,0.4212,8,64
3456,Newman,2,Natural Gas Steam Turbine,78,0.4212,8,64
3456,Newman,3,Natural Gas Steam Turbine,98,0.5292,8,64
3456,Newman,4,Natural Gas Fired Combined Cycle,89,0.5874,4,16
3456,Newman,5CA1,Natural Gas Fired Combined Cycle,128,0.8448,4,16
3456,Newman,5CT1,Natural Gas Fired Combined Cycle,72,0.4752,4,16
3456,Newman,5CT2,Natural Gas Fired Combined Cycle,72,0.4752,4,16
3456,Newman,CT1,Natural Gas Fired Combined Cycle,72,0.4752,4,16
3456,Newman,CT2,Natural Gas Fired Combined Cycle,72,0.4752,4,16
3457,Lewis Creek,1,Natural Gas Steam Turbine,253.3,1.36782,8,64
3457,Lewis Creek,2,Natural Gas Steam Turbine,255.3,1.37862,8,64
3459,Sabine,1,Natural Gas Steam Turbine,211.7,1.14318,8,64
3459,Sabine,3,Natural Gas Steam Turbine,393.5,2.1249,8,64
3459,Sabine,4,Natural Gas Steam Turbine,532.6,2.87604,8,64
3459,Sabine,5,Natural Gas Steam Turbine,454,2.4516,8,64
3460,Cedar Bayou,1,Natural Gas Steam Turbine,746,4.0284,8,64
3460,Cedar Bayou,2,Natural Gas Steam Turbine,749,4.0446,8,64
3464,Greens Bayou,73,Natural Gas Fired Combustion Turbine,54,10.8,1,1
3464,Greens Bayou,74,Natural Gas Fired Combustion Turbine,54,10.8,1,1
3464,Greens Bayou,81,Natural Gas Fired Combustion Turbine,54,10.8,1,1
3464,Greens Bayou,82,Natural Gas Fired Combustion Turbine,50,10,1,1
3464,Greens Bayou,83,Natural Gas Fired Combustion Turbine,64,12.8,1,1
3464,Greens Bayou,84,Natural Gas Fired Combustion Turbine,54,10.8,1,1
3469,T H Wharton,3,Natural Gas Fired Combined Cycle,104,0.6864,4,16
3469,T H Wharton,31,Natural Gas Fired Combined Cycle,57,0.3762,4,16
3469,T H Wharton,32,Natural Gas Fired Combined Cycle,57,0.3762,4,16
3469,T H Wharton,33,Natural Gas Fired Combined Cycle,57,0.3762,4,16
3469,T H Wharton,34,Natural Gas Fired Combined Cycle,57,0.3762,4,16
3469,T H Wharton,4,Natural Gas Fired Combined Cycle,104,0.6864,4,16
3469,T H Wharton,41,Natural Gas Fired Combined Cycle,57,0.3762,4,16
3469,T H Wharton,42,Natural Gas Fired Combined Cycle,57,0.3762,4,16
3469,T H Wharton,43,Natural Gas Fired Combined Cycle,57,0.3762,4,16
3469,T H Wharton,44,Natural Gas Fired Combined Cycle,57,0.3762,4,16
3469,T H Wharton,51,Natural Gas Fired Combustion Turbine,58,11.6,1,1
3469,T H Wharton,52,Natural Gas Fired Combustion Turbine,58,11.6,1,1
3469,T H Wharton,53,Natural Gas Fired Combustion Turbine,58,11.6,1,1
3469,T H Wharton,54,Natural Gas Fired Combustion Turbine,58,11.6,1,1
3469,T H Wharton,55,Natural Gas Fired Combustion Turbine,58,11.6,1,1
3469,T H Wharton,56,Natural Gas Fired Combustion Turbine,58,11.6,1,1
