UID,From Bus,From Name,To Bus,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Cont Rating,Lim MVA B,Lim MVA C
1,260039,GRAND PRAIRIE 10 2,260041,GRAND PRAIRIE 10 4,1,Closed,Transformer,YES,0,0.001,0,0,0,0
2,180044,CRYSTAL CITY 1 1,180046,CRYSTAL CITY 1 3,10,Closed,Transformer,YES,0,0.01,0,0,0,0
3,240030,LAUGHLIN A F B 6 1,240032,LAUGHLIN A F B 6 3,10,Closed,Transformer,YES,0,0.01,0,0,0,0
4,220238,MARATHON 2 1,220240,MARATHON 2 3,10,Closed,Transformer,YES,0,0.01,0,0,0,0
5,250303,NACOGDOCHES 5 1,250305,NACOGDOCHES 5 3,10,Closed,Transformer,YES,0,0.01,0,0,0,0
6,260109,LEWISVILLE 6 2,260111,LEWISVILLE 6 4,1,Closed,Transformer,YES,0,0.001,0,0,0,0
7,240205,SILVER 1 3,240206,SILVER 1 4,1,Closed,Transformer,YES,0,0.01,0,0.7,0.7,0.7
8,240204,SILVER 1 2,240206,SILVER 1 4,1,Closed,Transformer,YES,0,0.01,0,0.7,0.7,0.7
9,150467,BRIDGEPORT 4 4,150468,BRIDGEPORT 4 5,1,Closed,Transformer,YES,0,0.01,0,1,1,1
10,150466,BRIDGEPORT 4 3,150468,BRIDGEPORT 4 5,1,Closed,Transformer,YES,0,0.01,0,1,1,1
11,260203,HURST 10 3,260204,HURST 10 4,1,Closed,Transformer,YES,0,0.01,0,1.2,1.2,1.2
12,270199,SEGUIN 8 3,270200,SEGUIN 8 4,1,Closed,Transformer,YES,0,0.01,0,1.6,1.6,1.6
13,270198,SEGUIN 8 2,270200,SEGUIN 8 4,1,Closed,Transformer,YES,0,0.01,0,1.6,1.6,1.6
14,120476,CONVERSE 9 2,120478,CONVERSE 9 4,1,Closed,Transformer,YES,0,0.01,0,1.8,1.8,1.8
15,270188,MC QUEENEY 5 2,270190,MC QUEENEY 5 4,1,Closed,Transformer,YES,0,0.01,0,1.8,1.8,1.8
16,130373,HUTCHINS 3 3,130374,HUTCHINS 3 4,1,Closed,Transformer,YES,0,0.01,0,1.8,1.8,1.8
17,270189,MC QUEENEY 5 3,270190,MC QUEENEY 5 4,1,Closed,Transformer,YES,0,0.01,0,1.8,1.8,1.8
18,120477,CONVERSE 9 3,120478,CONVERSE 9 4,1,Closed,Transformer,YES,0,0.01,0,1.8,1.8,1.8
19,130372,HUTCHINS 3 2,130374,HUTCHINS 3 4,1,Closed,Transformer,YES,0,0.01,0,1.8,1.8,1.8
20,140366,AUSTIN 57 3,140367,AUSTIN 57 4,1,Closed,Transformer,YES,0,0.01,0,2,2,2
21,120483,LACKLAND A F B 21 2,120485,LACKLAND A F B 21 4,1,Closed,Transformer,YES,0,0.01,0,2.1,2.1,2.1
22,120484,LACKLAND A F B 21 3,120485,LACKLAND A F B 21 4,1,Closed,Transformer,YES,0,0.01,0,2.1,2.1,2.1
23,170560,LEWISVILLE 5 3,170561,LEWISVILLE 5 4,1,Closed,Transformer,YES,0,0.01,0,2.1,2.1,2.1
24,170559,LEWISVILLE 5 2,170561,LEWISVILLE 5 4,1,Closed,Transformer,YES,0,0.01,0,2.1,2.1,2.1
25,260216,COPPELL 11 3,260217,COPPELL 11 4,1,Closed,Transformer,YES,0,0.01,0,2.3,2.3,2.3
26,260215,COPPELL 11 2,260217,COPPELL 11 4,1,Closed,Transformer,YES,0,0.01,0,2.3,2.3,2.3
27,150456,SHEPPARD AFB 5 2,150458,SHEPPARD AFB 5 4,1,Closed,Transformer,YES,0,0.01,0,2.6,2.6,2.6
28,150457,SHEPPARD AFB 5 3,150458,SHEPPARD AFB 5 4,1,Closed,Transformer,YES,0,0.01,0,2.6,2.6,2.6
29,200163,SANTA ROSA 2 3,200164,SANTA ROSA 2 4,1,Closed,Transformer,YES,0,0.01,0,3.2,3.2,3.2
30,140346,CEDAR PARK 26 3,140347,CEDAR PARK 26 4,1,Closed,Transformer,YES,0,0.01,0,3.2,3.2,3.2
31,140386,AUSTIN 60 3,140387,AUSTIN 60 4,1,Closed,Transformer,YES,0,0.01,0,3.2,3.2,3.2
32,140385,AUSTIN 60 2,140387,AUSTIN 60 4,1,Closed,Transformer,YES,0,0.01,0,3.2,3.2,3.2
33,220138,IRAAN 2 2,220140,IRAAN 2 4,1,Closed,Transformer,YES,0,0.01,0,3.6,3.6,3.6
34,220139,IRAAN 2 3,220140,IRAAN 2 4,1,Closed,Transformer,YES,0,0.01,0,3.6,3.6,3.6
35,111226,MONT BELVIEU 4 3,111227,MONT BELVIEU 4 4,1,Closed,Transformer,YES,0,0.01,0,3.9,3.9,3.9
36,111225,MONT BELVIEU 4 2,111227,MONT BELVIEU 4 4,1,Closed,Transformer,YES,0,0.01,0,3.9,3.9,3.9
37,111257,HOUSTON 49 3,111258,HOUSTON 49 4,1,Closed,Transformer,YES,0,0.01,0,4,4,4
38,140345,CEDAR PARK 26 2,140347,CEDAR PARK 26 4,1,Closed,Transformer,YES,0,0.01,0,4.7,4.7,4.7
39,140365,AUSTIN 57 2,140367,AUSTIN 57 4,1,Closed,Transformer,YES,0,0.01,0,4.8,4.8,4.8
40,111256,HOUSTON 49 2,111258,HOUSTON 49 4,1,Closed,Transformer,YES,0,0.01,0,4.9,4.9,4.9
41,260202,HURST 10 2,260204,HURST 10 4,1,Closed,Transformer,YES,0,0.01,0,5.5,5.5,5.5
42,111238,LIVERPOOL 5 4,111239,LIVERPOOL 5 5,1,Closed,Transformer,YES,0,0.01,0,6.8,6.8,6.8
43,111414,WEBSTER 10 2,111416,WEBSTER 10 4,1,Closed,Transformer,YES,0,0.01,0,6.9,6.9,6.9
44,111415,WEBSTER 10 3,111416,WEBSTER 10 4,1,Closed,Transformer,YES,0,0.01,0,6.9,6.9,6.9
45,260108,LEWISVILLE 6 1,260111,LEWISVILLE 6 4,1,Closed,Transformer,YES,0.07753,2.12701,0,8,8,8
46,110055,LOUISE 2 3,110056,LOUISE 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
47,110107,MATAGORDA 2 3,110108,MATAGORDA 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
