Load
Number of Bus,Name of Bus,Area Name of Load,Zone Name of Load,ID,Status,MW,Mvar,MVA,S MW,S Mvar,Dist Status,Dist MW Input,Dist Mvar Input
111078,SANTA FE 3 1,Coast,1,5,Closed,486.5000,117.60,500.51,486.50,117.60,Closed,0.00,0.00
110449,LEAGUE CITY 1 1,Coast,1,5,Closed,318.4000,130.90,344.26,318.40,130.90,Closed,0.00,0.00
110484,CLUTE 1 1,Coast,1,5,Closed,221.1000,93.80,240.17,221.10,93.80,Closed,0.00,0.00
110127,BAY CITY 3 2,Coast,1,5,Closed,194.6000,76.10,208.95,194.60,76.10,Closed,0.00,0.00
110404,BAYTOWN 7 1,Coast,1,5,Closed,185.8000,111.50,216.69,185.80,111.50,Closed,0.00,0.00
110340,ALVIN 1 1,Coast,1,5,Closed,176.9000,16.80,177.70,176.90,16.80,Closed,0.00,0.00
110916,MISSOURI CITY 7 1,Coast,1,5,Closed,176.9000,122.10,214.95,176.90,122.10,Closed,0.00,0.00
110944,ROSENBERG 4 2,Coast,1,5,Closed,176.9000,116.80,211.98,176.90,116.80,Closed,0.00,0.00
150342,KENNEDALE 7 2,North Central,1,5,Closed,168.1000,33.60,171.43,168.10,33.60,Closed,0.00,0.00
220021,MC CAMEY 1 1,Far West,1,5,Closed,151.3000,31.00,154.44,151.30,31.00,Closed,0.00,0.00
220150,IRAAN 3 1,Far West,1,5,Closed,147.7000,48.70,155.52,147.70,48.70,Closed,0.00,0.00
110442,SEABROOK 1 3,Coast,1,5,Closed,145.1000,87.60,169.49,145.10,87.60,Closed,0.00,0.00
220190,GOLDSMITH 4 2,Far West,1,5,Closed,141.5000,83.20,164.15,141.50,83.20,Closed,0.00,0.00
220088,ODESSA 12 1,Far West,1,5,Closed,138.9000,38.00,144.00,138.90,38.00,Closed,0.00,0.00
140372,WEST POINT 3 1,South Central,1,5,Closed,136.2000,49.50,144.92,136.20,49.50,Closed,0.00,0.00
220110,MIDLAND 23 1,Far West,1,5,Closed,133.6000,34.50,137.98,133.60,34.50,Closed,0.00,0.00
270156,SAN MARCOS 3 1,South Central,1,5,Closed,130.9000,57.50,142.97,130.90,57.50,Closed,0.00,0.00
111068,SPRING 32 2,Coast,1,5,Closed,128.3000,88.50,155.86,128.30,88.50,Closed,0.00,0.00
111019,WALLISVILLE 2 1,Coast,1,5,Closed,125.6000,76.10,146.86,125.60,76.10,Closed,0.00,0.00
270159,SAN MARCOS 5 1,South Central,1,5,Closed,123.0000,54.00,134.33,123.00,54.00,Closed,0.00,0.00
160140,CORPUS CHRISTI 8 2,South,1,5,Closed,121.2000,66.30,138.15,121.20,66.30,Closed,0.00,0.00
160009,PORT ARANSAS 1 1,South,1,5,Closed,118.5000,40.70,125.29,118.50,40.70,Closed,0.00,0.00
160290,CORPUS CHRISTI 33 2,South,1,5,Closed,116.8000,74.30,138.43,116.80,74.30,Closed,0.00,0.00
110096,MIDFIELD 1 4,Coast,1,5,Closed,115.0000,75.20,137.40,115.00,75.20,Closed,0.00,0.00
130328,WAXAHACHIE 5 2,North Central,1,5,Closed,113.2000,76.10,136.40,113.20,76.10,Closed,0.00,0.00
110338,BELLAIRE 19 1,Coast,1,5,Closed,110.6000,79.60,136.27,110.60,79.60,Closed,0.00,0.00
110123,HUNGERFORD 2 1,Coast,1,5,Closed,108.8000,78.70,134.28,108.80,78.70,Closed,0.00,0.00
160187,GREGORY 2 1,South,1,5,Closed,107.0000,69.90,127.81,107.00,69.90,Closed,0.00,0.00
220100,MIDLAND 13 2,Far West,1,5,Closed,105.3000,48.70,116.02,105.30,48.70,Closed,0.00,0.00
260193,MIDLOTHIAN 4 1,North Central,1,5,Closed,103.5000,32.70,108.54,103.50,32.70,Closed,0.00,0.00
111172,SUGAR LAND 75 2,Coast,1,5,Closed,102.6000,75.20,127.21,102.60,75.20,Closed,0.00,0.00
270077,WESTHOFF 2 1,South Central,1,5,Closed,100.8000,74.30,125.22,100.80,74.30,Closed,0.00,0.00
240316,BARNHART 2 2,Far West,1,5,Closed,99.1000,71.70,122.32,99.10,71.70,Closed,0.00,0.00
110982,SPRING 20 1,Coast,1,5,Closed,98.2000,64.60,117.54,98.20,64.60,Closed,0.00,0.00
240303,BARNHART 1 2,Far West,1,5,Closed,96.4000,50.40,108.78,96.40,50.40,Closed,0.00,0.00
130309,ENNIS 5 1,North Central,1,5,Closed,95.5000,35.40,101.85,95.50,35.40,Closed,0.00,0.00
150153,AZLE 1 2,North Central,1,5,Closed,93.8000,53.10,107.79,93.80,53.10,Closed,0.00,0.00
